Item,Qtty needed,Qtty / Pack,Pack Qtty,Price / pack,Source,Extra,Category,Already owned,Item Total,Final Total,Final Total ($)
Stepper Motor Nema 17,3,1,3,7.99€,https://www.aliexpress.com/item/1005008459399126.html?spm=a2g0o.detail.0.0.6d6adUQZdUQZ7e&mp=1&pdp_npi=5%40dis%21EUR%21EUR%208.03%21EUR%207.69%21%21EUR%207.54%21%21%21%40211b655217646124221315154eeff6%2112000045225398669%21ct%21ES%213560368449%21%213%210&_gl=1*99zn9c*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMjQyMSRqNjAkbDAkaDA.,,Motor,FALSE,23.97€,348.22€,$405.72
USB B cable,1,1,1,1.65€,https://es.aliexpress.com/item/32700175631.html,,Electronics,TRUE,0,,
MainBoard,1,1,1,37.39€,https://es.aliexpress.com/item/1005006046426892.html,With TMC2209x5,Electronics,FALSE,37.39€,,
15180 extrusion,1,1,1,20.99€,https://www.aliexpress.com/item/1005007601829278.html?spm=a2g0o.detail.0.0.40d0zxSuzxSugE&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2045.14%21EUR%2020.99%21%21EUR%2019.94%21%21%21%40211b655217646124673547076eeff6%2112000041465696830%21ct%21ES%213560368449%21%211%210&_gl=1*af3oye*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMjQ2NyRqMTQkbDAkaDA.,300 mm,Bed,FALSE,20.99€,,
Orange Pi zero,0,1,0,21.11€,https://es.aliexpress.com/item/1005005785695181.html,,Electronics,FALSE,0.00€,,
Spindle 500W,1,1,1,83.90€,https://es.aliexpress.com/item/1005008660257525.html?spm=a2g0o.detail.0.0.7ceea4QSa4QSAm&mp=1&pdp_npi=5%40dis%21EUR%21EUR%20154.82%21EUR%2071.22%21%21EUR%2071.22%21%21%21%40211b81a317644196400182168e1ef0%2112000046135986087%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,,Spindle,FALSE,83.90€,,
Endstops,3,10,1,1.99€,https://es.aliexpress.com/item/32273125391.html?spm=a2g0o.detail.0.0.4430TZLUTZLUKZ&mp=1&pdp_npi=5%40dis%21EUR%21EUR%202.23%21EUR%202.04%21%21EUR%202.04%21%21%21%40211b81a317644196334361968e1ef0%2110000000087821676%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&gatewayAdapt=glo2esp,,Electronics,FALSE,1.99€,,
2020 extrusion,4,4,1,16.49€,https://es.aliexpress.com/item/1005001598712011.html?spm=a2g0o.detail.0.0.79003CBe3CBeeJ&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2022.12%21EUR%2016.59%21%21EUR%2015.71%21%21%21%40210311a017645289863703437efee1%2112000028499272341%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,350 mm,Structure,FALSE,16.49€,,
2040 extrusion,2,1,2,7.49€,https://es.aliexpress.com/item/1005002652962344.html?spm=a2g0o.detail.0.0.7d2eqFEiqFEiDB&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2010.77%21EUR%206.89%21%21EUR%206.89%21%21%21%40210311a017645290191214425efee1%2112000021570028934%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,350 mm,Structure,FALSE,14.98€,,
2040 extrusion,2,1,2,6.09€,https://es.aliexpress.com/item/1005002652962344.html?spm=a2g0o.detail.0.0.10caUmdrUmdr1n&mp=1&pdp_npi=5%40dis%21EUR%21EUR%208.74%21EUR%205.59%21%21EUR%205.59%21%21%21%40210311a017645290447735008efee1%2112000021570028926%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,250 mm,Structure,FALSE,12.18€,,
2080 extrusion,1,1,1,14.19€,https://es.aliexpress.com/item/1005002652962344.html?spm=a2g0o.detail.0.0.5557UOGAUOGA3N&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2020.30%21EUR%2012.99%21%21EUR%2012.60%21%21%21%40210311a017645292209481296efee1%2112000021570028935%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,350 mm,Structure,FALSE,14.19€,,
2080 extrusion,1,1,1,7.09€,https://es.aliexpress.com/item/1005002652962344.html?spm=a2g0o.detail.0.0.79b2Nz81Nz81Fn&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2010.30%21EUR%206.59%21%21EUR%206.39%21%21%21%40210311a017645292158311150efee1%2112000021570028919%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,150 mm,Structure,FALSE,7.09€,,
Lead Screw T8,1,1,1,2.66€,https://www.aliexpress.com/item/1005009554037590.html?spm=a2g0o.detail.0.0.79017qgN7qgNMF&mp=1&pdp_npi=5%40dis%21EUR%21EUR%202.68%21EUR%202.56%21%21EUR%202.51%21%21%21%40211b619a17645307977782299ebf8a%2112000049447812338%21ct%21ES%213560368449%21%211%210&_gl=1*phgfdg*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ1Mjg3ODUkbzM1NSRnMSR0MTc2NDUzMDc5NyRqNTIkbDAkaDA.,150 mm,Linear,FALSE,2.66€,,
Lead Screw T8,2,1,2,4.69€,https://www.aliexpress.com/item/1005009554037590.html?spm=a2g0o.detail.0.0.79017qgN7qgNMF&mp=1&pdp_npi=5%40dis%21EUR%21EUR%204.74%21EUR%204.49%21%21EUR%204.40%21%21%21%40211b619a17645307977782299ebf8a%2112000049447812343%21ct%21ES%213560368449%21%211%210&_gl=1*phgfdg*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ1Mjg3ODUkbzM1NSRnMSR0MTc2NDUzMDc5NyRqNTIkbDAkaDA.,350 mm,Linear,FALSE,9.38€,,
Linear Rail MGN15H,4,1,4,14.79€,https://es.aliexpress.com/item/1000007480470.html?spm=a2g0o.detail.0.0.1c2ddrm2drm20V&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2021.36%21EUR%2012.39%21%21EUR%2012.39%21%21%21%40210311a017645298937622975efee1%2112000031932165364%21ct%21ES%213560368449%21%212%210&gatewayAdapt=glo2esp,350 mm,Linear,FALSE,59.16€,,
Linear Rail MGN15H,2,1,2,8.89€,https://es.aliexpress.com/item/1000007480470.html?spm=a2g0o.detail.0.0.1c2ddrm2drm20V&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2012.74%21EUR%207.39%21%21EUR%207.39%21%21%21%40210311a017645298937622975efee1%2112000031932165360%21ct%21ES%213560368449%21%214%210&gatewayAdapt=glo2esp,150 mm,Linear,FALSE,17.78€,,
MGN15C block,2,1,2,6.89€,https://es.aliexpress.com/item/1000007480470.html?spm=a2g0o.detail.0.0.1c2ddrm2drm20V&mp=1&pdp_npi=5%40dis%21EUR%21EUR%209.98%21EUR%205.79%21%21EUR%205.79%21%21%21%40210311a017645298937622975efee1%2112000026579583052%21ct%21ES%213560368449%21%212%210&gatewayAdapt=glo2esp,,Linear,FALSE,13.78€,,
5x8 coupling,3,3,1,3.89€,https://es.aliexpress.com/item/1005006305848755.html?spm=a2g0o.detail.0.0.603eUhqQUhqQjX&mp=1&pdp_npi=5%40dis%21EUR%21EUR%203.91%21EUR%203.59%21%21EUR%203.59%21%21%21%40210311a017645299878575472efee1%2112000036693046283%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,,Motor,FALSE,3.89€,,
PWM to 0-10V,1,1,1,3.19€,https://es.aliexpress.com/item/1005006246628087.html?spm=a2g0o.detail.0.0.29e3XJwTXJwTjZ&mp=1&pdp_npi=5%40dis%21EUR%21EUR%203.17%21EUR%202.92%21%21EUR%202.92%21%21%21%40211b816617645393533345315eb521%2112000036453367142%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,,Electronics,FALSE,3.19€,,
LRS-200-24,0,1,0,36.59€,https://es.aliexpress.com/item/1005008946405294.html?spm=a2g0o.detail.0.0.4700FBQtFBQtQe&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2040.78%21EUR%2030.99%21%21EUR%2030.37%21%21%21%40211b804117645396784991466e23d8%2112000047311474366%21ct%21ES%213560368449%21%211%210&gatewayAdapt=glo2esp,"Recommended, but unable to fit into budget",Electronics,FALSE,0.00€,,
24V 250W PSU,1,1,1,18.79€,https://www.aliexpress.com/item/1005007294494572.html?spm=a2g0o.cart.0.0.109e7a9dVyvZIj&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2030.79%21EUR%2018.79%21%21EUR%2018.60%21%21%21%40211b815c17649269012323401e057d%2112000044238944995%21ct%21ES%213560368449%21%211%210,,Electronics,FALSE,18.79€,,
M3 screw,6,10,1,0.66€,https://www.aliexpress.com/item/1005003189489793.html?spm=a2g0o.detail.0.0.3719nPxtnPxtef&mp=1&pdp_npi=5%40dis%21EUR%21EUR%201.01%21EUR%200.53%21%21EUR%200.51%21%21%21%40211b615317646111469113161ece98%2112000024577596545%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&_gl=1*1hlknhg*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMTE0NiRqNjAkbDAkaDA.,"8 mm, ISO4762",screws,TRUE,0,,
M3 screw,44,50,1,2.10€,https://www.aliexpress.com/item/1005005832721555.html?spm=a2g0o.detail.0.0.5e43Wd0QWd0QfE&mp=1&pdp_npi=5%40dis%21EUR%21EUR%202.20%21EUR%201.41%21%21EUR%201.27%21%21%21%40211b813b17646015681711496ea11c%2112000034511043994%21ct%21ES%213560368449%21%211%210&_gl=1*1ehqi5l*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MDExOTckbzM1OSRnMSR0MTc2NDYwMTU2NyRqMjIkbDAkaDA.,"10 mm, ISO4762",screws,FALSE,2.10€,,
M3 screw,7,10,1,0.68€,https://www.aliexpress.com/item/1005003189489793.html?spm=a2g0o.detail.0.0.3719nPxtnPxtef&mp=1&pdp_npi=5%40dis%21EUR%21EUR%201.06%21EUR%200.57%21%21EUR%200.55%21%21%21%40211b615317646111853234440ece98%2112000024577596547%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&_gl=1*1nayura*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMTE4NSRqMjEkbDAkaDA.,"12 mm, ISO4762",screws,TRUE,0,,
M3 screw,8,50,1,2.09€,https://www.aliexpress.com/item/1005004029818219.html?spm=a2g0o.detail.0.0.690a9HFV9HFViy&mp=1&pdp_npi=5%40dis%21EUR%21EUR%203.50%21EUR%201.72%21%21EUR%201.63%21%21%21%40211b655217646121582982433eeff6%2112000027798743203%21ct%21ES%213560368449%21%211%210&_gl=1*1anmo9e*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMjE1OCRqMzAkbDAkaDA.,"14 mm, ISO10642",screws,FALSE,2.09€,,
M3 screw,8,10,1,0.77€,https://www.aliexpress.com/item/1005003189489793.html?spm=a2g0o.detail.0.0.3719nPxtnPxtef&mp=1&pdp_npi=5%40dis%21EUR%21EUR%201.18%21EUR%200.62%21%21EUR%200.58%21%21%21%40211b615317646112180615550ece98%2112000024577596549%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&_gl=1*1yn2njf*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMTIxNyRqNjAkbDAkaDA.,"16 mm, ISO4762",screws,FALSE,0.77€,,
M3 screw,16,50,1,2.51€,https://www.aliexpress.com/item/1005004029818219.html?spm=a2g0o.detail.0.0.690a9HFV9HFViy&mp=1&pdp_npi=5%40dis%21EUR%21EUR%204.20%21EUR%202.06%21%21EUR%201.96%21%21%21%40211b655217646121582982433eeff6%2112000027798743205%21ct%21ES%213560368449%21%211%210&_gl=1*1anmo9e*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMjE1OCRqMzAkbDAkaDA.,"18 mm, ISO10642",screws,FALSE,2.51€,,
M3 screw,2,10,1,1.20€,https://www.aliexpress.com/item/1005003189489793.html?spm=a2g0o.detail.0.0.3719nPxtnPxtef&mp=1&pdp_npi=5%40dis%21EUR%21EUR%201.86%21EUR%200.99%21%21EUR%200.94%21%21%21%40211b615317646112556686956ece98%2112000024577596554%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&_gl=1*kicgsu*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMTI1NSRqMjIkbDAkaDA.,"28 mm, ISO4762",screws,FALSE,1.20€,,
M3 screw,4,10,1,1.72€,https://www.aliexpress.com/item/1005003189489793.html?spm=a2g0o.detail.0.0.3719nPxtnPxtef&mp=1&pdp_npi=5%40dis%21EUR%21EUR%202.65%21EUR%201.41%21%21EUR%201.34%21%21%21%40211b615317646112556686956ece98%2112000024577596556%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&_gl=1*kicgsu*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMTI1NSRqMjIkbDAkaDA.,"38 mm, ISO4762",screws,FALSE,1.72€,,
M5 screw,40,50,1,3.29€,https://www.aliexpress.com/item/1005008380620769.html?spm=a2g0o.detail.0.0.14c4m4Jim4JinI&mp=1&pdp_npi=5%40dis%21EUR%21EUR%203.36%21EUR%203.09%21%21EUR%203.03%21%21%21%40211b813b17646017639757842ea11c%2112000044788204090%21ct%21ES%213560368449%21%211%210&_gl=1*km2nyy*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MDExOTckbzM1OSRnMSR0MTc2NDYwMTc2MyRqMzAkbDAkaDA.,"8 mm, ISO7380",screws,FALSE,3.29€,,
M5 screw,2,10,1,1.32€,https://www.aliexpress.com/item/1005003189489793.html?spm=a2g0o.detail.0.0.62674nml4nmlVd&mp=1&pdp_npi=5%40dis%21EUR%21EUR%202.04%21EUR%201.08%21%21EUR%201.03%21%21%21%40211b655217646119909044594eeff6%2112000024577596593%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&_gl=1*3d825f*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMTk5MCRqMTYkbDAkaDA.,"12 mm, ISO4762",screws,FALSE,1.32€,,
M6 screw,20,10,2,2.51€,https://www.aliexpress.com/item/1005003189489793.html?spm=a2g0o.detail.0.0.733fhJxahJxaeq&mp=1&pdp_npi=5%40dis%21EUR%21EUR%203.87%21EUR%202.05%21%21EUR%201.94%21%21%21%40211b655217646128893796425eeff6%2112000024577596622%21ct%21ES%213560368449%21%211%210&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D&_gl=1*3mc3p*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMjg4OSRqNjAkbDAkaDA.,"25 mm, ISO4762",screws,FALSE,5.02€,,
M3 T-Nut,90,100,1,4.49€,https://www.aliexpress.com/item/1005007383347166.html?spm=a2g0o.detail.0.0.597aXC7aXC7a3h&mp=1&pdp_npi=5%40dis%21EUR%21EUR%204.55%21EUR%204.39%21%21EUR%204.30%21%21%21%40211b655217646130617194754eeff6%2112000040523054010%21ct%21ES%213560368449%21%211%210&_gl=1*htck9j*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMzA2MSRqMzckbDAkaDA.,2020-M3-50PCS,screws,FALSE,4.49€,,
M5 T-Nut,42,50,1,3.09€,https://www.aliexpress.com/item/1005007383347166.html?spm=a2g0o.detail.0.0.597aXC7aXC7a3h&mp=1&pdp_npi=5%40dis%21EUR%21EUR%203.14%21EUR%202.99%21%21EUR%202.93%21%21%21%40211b655217646130617194754eeff6%2112000040523054013%21ct%21ES%213560368449%21%211%210&_gl=1*htck9j*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMzA2MSRqMzckbDAkaDA.,2020-M5-50PCS,screws,FALSE,3.09€,,
Corner Bracket,4,20,1,3.99€,https://www.aliexpress.com/item/1005007540068610.html?spm=a2g0o.detail.0.0.1b76TrAQTrAQHf&mp=1&pdp_npi=5%40dis%21EUR%21EUR%2011.59%21EUR%203.36%21%21EUR%203.33%21%21%21%40211b655217646131773968801eeff6%2112000042158282372%21ct%21ES%213560368449%21%211%210&_gl=1*1q5p9jx*_gcl_au*MzIxMjEzOTQyLjE3NjA3NzQxMzE.*_ga*MzE0MjA4MjUyLjE3NDQ1NjgzNTU.*_ga_VED1YSGNC7*czE3NjQ2MTA3MjQkbzM2MSRnMSR0MTc2NDYxMzE3NyRqNjAkbDAkaDA.,2020,Structure,TRUE,0,,
Shipping,1,1,1,0.71€,,,,FALSE,0.71€,,
Discount code,1,1,1,-41.89€,,IFP03AUH,,FALSE,-41.89€,,